Point ID,MaterialIDs,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,temperature_BHE1_0,temperature_BHE1_1,temperature_BHE1_2,temperature_BHE1_Magnitude,temperature_soil,vtkValidPointMask
113,0,0,20,-35.984,41.1685,18.984,288.893,286.255,285.668,496.999,285.663,1
114,0,0,20,-36.152,41.3155,19.152,288.891,286.255,285.668,496.997,285.663,1
115,0,0,20,-36.32,41.4625,19.32,288.889,286.254,285.667,496.995,285.662,1
116,0,0,20,-36.488,41.6098,19.488,288.886,286.253,285.666,496.993,285.662,1
117,0,0,20,-36.656,41.7572,19.656,288.884,286.253,285.666,496.99,285.661,1
118,0,0,20,-36.824,41.9047,19.824,288.882,286.252,285.665,496.988,285.66,1
119,0,0,20,-36.992,42.0524,19.992,288.88,286.252,285.664,496.986,285.66,1
120,0,0,20,-37.16,42.2003,20.16,288.878,286.253,285.665,496.987,285.661,1
121,0,0,20,-37.328,42.3483,20.328,288.876,286.255,285.666,496.987,285.662,1
122,0,0,20,-37.496,42.4965,20.496,288.874,286.256,285.668,496.987,285.663,1
123,0,0,20,-37.664,42.6448,20.664,288.872,286.258,285.669,496.988,285.664,1
124,0,0,20,-37.832,42.7932,20.832,288.87,286.259,285.67,496.988,285.665,1
125,0,0,20,-38,42.9418,21,288.867,286.261,285.671,496.989,285.666,1
126,0,0,20,-38.168,43.0906,21.168,288.865,286.26,285.67,496.987,285.666,1
127,0,0,20,-38.336,43.2394,21.336,288.863,286.26,285.67,496.985,285.665,1
128,0,0,20,-38.504,43.3885,21.504,288.861,286.259,285.669,496.983,285.664,1
129,0,0,20,-38.672,43.5376,21.672,288.859,286.259,285.669,496.981,285.664,1
130,0,0,20,-38.84,43.6869,21.84,288.856,286.258,285.668,496.979,285.663,1
131,0,0,20,-39.008,43.8363,22.008,288.854,286.258,285.667,496.977,285.663,1
132,0,0,20,-39.176,43.9859,22.176,288.852,286.259,285.669,496.977,285.664,1
133,0,0,20,-39.344,44.1356,22.344,288.85,286.261,285.67,496.978,285.665,1
134,0,0,20,-39.512,44.2854,22.512,288.848,286.263,285.671,496.978,285.666,1
135,0,0,20,-39.68,44.4354,22.68,288.846,286.264,285.672,496.979,285.667,1
136,0,0,20,-39.848,44.5855,22.848,288.844,286.266,285.673,496.979,285.668,1
137,0,0,20,-40.016,44.7357,23.016,288.842,286.267,285.674,496.979,285.669,1
138,0,0,20,-40.184,44.886,23.184,288.84,286.267,285.674,496.977,285.669,1
139,0,0,20,-40.352,45.0365,23.352,288.838,286.266,285.673,496.976,285.668,1
140,0,0,20,-40.52,45.1871,23.52,288.836,286.266,285.672,496.974,285.668,1
141,0,0,20,-40.688,45.3378,23.688,288.833,286.265,285.672,496.972,285.667,1
142,0,0,20,-40.856,45.4886,23.856,288.831,286.265,285.671,496.97,285.666,1
143,0,0,20,-41.024,45.6395,24.024,288.829,286.265,285.671,496.968,285.666,1
144,0,0,20,-41.192,45.7906,24.192,288.827,286.266,285.672,496.969,285.667,1
145,0,0,20,-41.36,45.9418,24.36,288.825,286.268,285.673,496.969,285.669,1
146,0,0,20,-41.528,46.0931,24.528,288.823,286.27,285.675,496.97,285.67,1
147,0,0,20,-41.696,46.2445,24.696,288.821,286.271,285.676,496.97,285.671,1
148,0,0,20,-41.864,46.3961,24.864,288.819,286.273,285.677,496.971,285.672,1
149,0,0,20,-42.032,46.5477,25.032,288.817,286.274,285.678,496.971,285.673,1
150,0,0,20,-42.2,46.6995,25.2,288.815,286.274,285.677,496.969,285.672,1
151,0,0,20,-42.368,46.8513,25.368,288.813,286.273,285.677,496.967,285.672,1
